id,nota1,nota2,nota3,nota4,ano
1,15,90,35,50,2021
2,95,35,20,50,2023
3,100,60,50,0,2024
4,70,50,50,95,2020
5,65,65,100,60,2024
6,85,75,25,90,2021
7,5,90,60,35,2023
8,10,15,95,35,2021
9,50,85,60,30,2023
10,10,25,25,45,2024
11,85,75,70,75,2020
12,90,40,90,65,2021
13,55,55,100,30,2024
14,95,10,90,30,2024
15,85,65,0,30,2020
16,90,25,20,35,2023
17,50,25,65,50,2020
18,20,90,25,65,2022
19,20,0,85,0,2020
20,75,45,90,0,2024
21,5,15,65,10,2021
22,60,95,100,100,2024
23,15,50,15,55,2021
24,10,35,65,45,2021
25,25,10,60,5,2023
26,40,60,75,90,2020
27,70,40,0,85,2023
28,5,30,60,45,2023
29,5,50,5,35,2023
30,55,70,20,50,2020
31,95,100,20,60,2024
32,35,90,60,60,2024
33,0,95,75,100,2021
34,85,0,10,60,2020
35,75,50,50,15,2024
36,15,35,40,25,2021
37,0,70,80,85,2023
38,50,60,95,20,2024
39,55,100,95,55,2023
40,10,40,10,0,2022
41,10,45,100,100,2020
42,60,0,50,30,2020
43,55,35,35,40,2021
44,60,75,45,95,2022
45,25,80,35,55,2021
46,65,50,15,60,2023
47,90,45,70,90,2022
48,50,75,90,75,2022
49,95,45,50,70,2024
50,35,35,50,75,2021
51,75,40,50,0,2020
52,40,55,35,80,2021
53,100,0,35,5,2022
54,25,5,80,20,2022
55,20,65,10,40,2020
56,40,40,70,30,2021
57,5,15,90,95,2024
58,70,30,75,95,2023
59,95,100,90,80,2020
60,65,5,40,40,2022
61,0,80,80,60,2023
62,45,0,0,90,2023
63,70,95,15,10,2024
64,30,25,45,95,2023
65,50,95,95,55,2022
66,50,80,60,5,2021
67,30,5,100,55,2020
68,25,70,100,75,2022
69,25,45,25,45,2024
70,10,60,45,70,2021
71,35,0,10,90,2020
72,35,55,60,65,2023
73,15,90,50,0,2022
74,80,10,0,60,2024
75,70,100,100,100,2024
76,30,45,65,65,2024
77,85,65,65,30,2021
78,70,85,20,40,2022
79,55,25,55,25,2024
80,50,45,0,25,2022
81,55,80,90,65,2021
82,80,0,50,75,2022
83,60,45,80,45,2022
84,25,80,25,10,2024
85,90,60,85,100,2024
86,5,95,90,55,2023
87,5,80,90,60,2022
88,65,55,0,0,2024
89,90,80,75,45,2023
90,60,75,85,80,2021
91,65,5,75,50,2022
92,0,0,15,60,2022
93,90,55,85,55,2022
94,55,85,30,60,2021
95,95,35,75,15,2020
96,20,25,70,40,2020
97,40,80,55,75,2020
98,45,55,25,65,2020
99,35,15,20,90,2023
100,80,60,70,60,2022
